zone,year,month,built_up_percent,method
1,2018,1,73.00015053439708,extrapolated
2,2018,1,57.934249954024736,extrapolated
3,2018,1,33.325853064898574,extrapolated
4,2018,1,59.89685512157422,extrapolated
5,2018,1,59.57630098452884,extrapolated
6,2018,1,46.25847584347378,extrapolated
7,2018,1,19.15372127262997,extrapolated
8,2018,1,61.11014086448971,extrapolated
9,2018,1,25.9317217144421,extrapolated
10,2018,1,64.32323171688998,extrapolated
11,2018,1,67.26251626600916,extrapolated
12,2018,1,76.5176079263065,extrapolated
1,2018,2,73.00015053439708,extrapolated
2,2018,2,57.934249954024736,extrapolated
3,2018,2,33.325853064898574,extrapolated
4,2018,2,59.89685512157422,extrapolated
5,2018,2,59.57630098452884,extrapolated
6,2018,2,46.25847584347378,extrapolated
7,2018,2,19.15372127262997,extrapolated
8,2018,2,61.11014086448971,extrapolated
9,2018,2,25.9317217144421,extrapolated
10,2018,2,64.32323171688998,extrapolated
11,2018,2,67.26251626600916,extrapolated
12,2018,2,76.5176079263065,extrapolated
1,2018,3,73.00015053439708,extrapolated
2,2018,3,57.934249954024736,extrapolated
3,2018,3,33.325853064898574,extrapolated
4,2018,3,59.89685512157422,extrapolated
5,2018,3,59.57630098452884,extrapolated
6,2018,3,46.25847584347378,extrapolated
7,2018,3,19.15372127262997,extrapolated
8,2018,3,61.11014086448971,extrapolated
9,2018,3,25.9317217144421,extrapolated
10,2018,3,64.32323171688998,extrapolated
11,2018,3,67.26251626600916,extrapolated
12,2018,3,76.5176079263065,extrapolated
1,2018,4,73.00015053439708,extrapolated
2,2018,4,57.934249954024736,extrapolated
3,2018,4,33.325853064898574,extrapolated
4,2018,4,59.89685512157422,extrapolated
5,2018,4,59.57630098452884,extrapolated
6,2018,4,46.25847584347378,extrapolated
7,2018,4,19.15372127262997,extrapolated
8,2018,4,61.11014086448971,extrapolated
9,2018,4,25.9317217144421,extrapolated
10,2018,4,64.32323171688998,extrapolated
11,2018,4,67.26251626600916,extrapolated
12,2018,4,76.5176079263065,extrapolated
1,2018,5,73.00015053439708,extrapolated
2,2018,5,57.934249954024736,extrapolated
3,2018,5,33.325853064898574,extrapolated
4,2018,5,59.89685512157422,extrapolated
5,2018,5,59.57630098452884,extrapolated
6,2018,5,46.25847584347378,extrapolated
7,2018,5,19.15372127262997,extrapolated
8,2018,5,61.11014086448971,extrapolated
9,2018,5,25.9317217144421,extrapolated
10,2018,5,64.32323171688998,extrapolated
11,2018,5,67.26251626600916,extrapolated
12,2018,5,76.5176079263065,extrapolated
1,2018,6,73.00015053439708,extrapolated
2,2018,6,57.934249954024736,extrapolated
3,2018,6,33.325853064898574,extrapolated
4,2018,6,59.89685512157422,extrapolated
5,2018,6,59.57630098452884,extrapolated
6,2018,6,46.25847584347378,extrapolated
7,2018,6,19.15372127262997,extrapolated
8,2018,6,61.11014086448971,extrapolated
9,2018,6,25.9317217144421,extrapolated
10,2018,6,64.32323171688998,extrapolated
11,2018,6,67.26251626600916,extrapolated
12,2018,6,76.5176079263065,extrapolated
1,2018,7,73.00015053439708,extrapolated
2,2018,7,57.934249954024736,extrapolated
3,2018,7,33.325853064898574,extrapolated
4,2018,7,59.89685512157422,extrapolated
5,2018,7,59.57630098452884,extrapolated
6,2018,7,46.25847584347378,extrapolated
7,2018,7,19.15372127262997,extrapolated
8,2018,7,61.11014086448971,extrapolated
9,2018,7,25.9317217144421,extrapolated
10,2018,7,64.32323171688998,extrapolated
11,2018,7,67.26251626600916,extrapolated
12,2018,7,76.5176079263065,extrapolated
1,2018,8,73.00015053439708,extrapolated
2,2018,8,57.934249954024736,extrapolated
3,2018,8,33.325853064898574,extrapolated
4,2018,8,59.89685512157422,extrapolated
5,2018,8,59.57630098452884,extrapolated
6,2018,8,46.25847584347378,extrapolated
7,2018,8,19.15372127262997,extrapolated
8,2018,8,61.11014086448971,extrapolated
9,2018,8,25.9317217144421,extrapolated
10,2018,8,64.32323171688998,extrapolated
11,2018,8,67.26251626600916,extrapolated
12,2018,8,76.5176079263065,extrapolated
1,2018,9,73.00015053439708,extrapolated
2,2018,9,57.934249954024736,extrapolated
3,2018,9,33.325853064898574,extrapolated
4,2018,9,59.89685512157422,extrapolated
5,2018,9,59.57630098452884,extrapolated
6,2018,9,46.25847584347378,extrapolated
7,2018,9,19.15372127262997,extrapolated
8,2018,9,61.11014086448971,extrapolated
9,2018,9,25.9317217144421,extrapolated
10,2018,9,64.32323171688998,extrapolated
11,2018,9,67.26251626600916,extrapolated
12,2018,9,76.5176079263065,extrapolated
1,2018,10,73.00015053439708,extrapolated
2,2018,10,57.934249954024736,extrapolated
3,2018,10,33.325853064898574,extrapolated
4,2018,10,59.89685512157422,extrapolated
5,2018,10,59.57630098452884,extrapolated
6,2018,10,46.25847584347378,extrapolated
7,2018,10,19.15372127262997,extrapolated
8,2018,10,61.11014086448971,extrapolated
9,2018,10,25.9317217144421,extrapolated
10,2018,10,64.32323171688998,extrapolated
11,2018,10,67.26251626600916,extrapolated
12,2018,10,76.5176079263065,extrapolated
1,2018,11,73.00015053439708,extrapolated
2,2018,11,57.934249954024736,extrapolated
3,2018,11,33.325853064898574,extrapolated
4,2018,11,59.89685512157422,extrapolated
5,2018,11,59.57630098452884,extrapolated
6,2018,11,46.25847584347378,extrapolated
7,2018,11,19.15372127262997,extrapolated
8,2018,11,61.11014086448971,extrapolated
9,2018,11,25.9317217144421,extrapolated
10,2018,11,64.32323171688998,extrapolated
11,2018,11,67.26251626600916,extrapolated
12,2018,11,76.5176079263065,extrapolated
1,2018,12,73.00015053439708,extrapolated
2,2018,12,57.934249954024736,extrapolated
3,2018,12,33.325853064898574,extrapolated
4,2018,12,59.89685512157422,extrapolated
5,2018,12,59.57630098452884,extrapolated
6,2018,12,46.25847584347378,extrapolated
7,2018,12,19.15372127262997,extrapolated
8,2018,12,61.11014086448971,extrapolated
9,2018,12,25.9317217144421,extrapolated
10,2018,12,64.32323171688998,extrapolated
11,2018,12,67.26251626600916,extrapolated
