district_code,district,year,built_up_area_sq_m,built_up_area_sq_km
17728,Hoshangabad,2015,3.8206660776470594E7,38.20666077647059
17730,Jabalpur,2015,5.626212508627451E7,56.26212508627451
17732,Mandla,2015,2.6161092584313728E7,26.161092584313728
17733,Mandsaur,2015,4.7466222066666655E7,47.46622206666665
17734,Morena,2015,3.636719822745098E7,36.367198227450984
17741,Rajgarh,2015,3.743108923921569E7,37.43108923921569
17756,West Nimar,2015,5.002419362352943E7,50.02419362352943
70170,Barwani,2015,2.8211905125490203E7,28.211905125490205
70172,Dindori,2015,1.4623631125490194E7,14.623631125490194
70173,Harda,2015,1.955832414509804E7,19.55832414509804
70174,Katni,2015,4.290535644705883E7,42.90535644705883
70175,Neemuch,2015,2.90494328627451E7,29.0494328627451
70176,Sheopur,2015,1.55882045372549E7,15.5882045372549
70177,Umaria,2015,1.3936889521568628E7,13.936889521568627
17725,East Nimar,2015,3.571081329411765E7,35.71081329411765
17726,Guna,2015,2.7683749811764702E7,27.683749811764702
17748,Shahdol,2015,4.732459304313725E7,47.324593043137256
70168,Anuppur,2015,2.0455660286274508E7,20.455660286274508
70169,Ashoknagar,2015,2.219358043137255E7,22.19358043137255
17712,Balaghat,2015,5.323103065490195E7,53.23103065490195
17714,Betul,2015,4.195163018823528E7,41.951630188235285
17715,Bhind,2015,3.284453542745098E7,32.84453542745098
17716,Bhopal,2015,6.687874272156864E7,66.87874272156864
17718,Chhatarpur,2015,4.0258642352941185E7,40.25864235294119
17719,Chhindwara,2015,5.1930357250980385E7,51.930357250980386
17720,Damoh,2015,2.4841511682352945E7,24.841511682352944
17721,Datia,2015,1.7217787819607843E7,17.217787819607842
17722,Dewas,2015,5.030416365490195E7,50.30416365490195
17723,Dhar,2015,7.000111825490196E7,70.00111825490195
17727,Gwalior,2015,4.427897916078432E7,44.27897916078432
17729,Indore,2015,9.669391036862744E7,96.69391036862744
17731,Jhabua,2015,3.8325181898039214E7,38.32518189803921
17735,Narsinghpur,2015,3.1022705599999998E7,31.0227056
17736,Panna,2015,2.4665455047058824E7,24.665455047058824
17739,Raisen,2015,3.77529243372549E7,37.752924337254896
