district_code,district,year,total_population
17728,Hoshangabad,2015,1368609.587519355
17730,Jabalpur,2015,2334656.9487898652
17732,Mandla,2015,981325.6323141161
17733,Mandsaur,2015,1389199.3320719188
17734,Morena,2015,2165019.8697236236
17741,Rajgarh,2015,1627256.870630121
17756,West Nimar,2015,2010711.8055301872
70170,Barwani,2015,1598651.74763188
70172,Dindori,2015,915402.4738185592
70173,Harda,2015,649161.770294718
70174,Katni,2015,1804197.837157143
70175,Neemuch,2015,825544.5912994316
70176,Sheopur,2015,805051.2572725546
70177,Umaria,2015,574762.5822000464
17725,East Nimar,2015,1394198.3073187384
17726,Guna,2015,1317078.948669559
17748,Shahdol,2015,1435137.1708666515
70168,Anuppur,2015,666191.9288780721
70169,Ashoknagar,2015,966959.1471888633
17712,Balaghat,2015,1793698.4059691501
17714,Betul,2015,1712401.862849732
17715,Bhind,2015,1830109.8199804155
17716,Bhopal,2015,2690902.39740232
17718,Chhatarpur,2015,1922737.968453855
17719,Chhindwara,2015,2272344.114555694
17720,Damoh,2015,1367024.4530517922
17721,Datia,2015,844694.5194464652
17722,Dewas,2015,1686943.4897436914
17723,Dhar,2015,2465196.582613632
17727,Gwalior,2015,2259890.4133239533
17729,Indore,2015,3732522.0887597613
17731,Jhabua,2015,1950214.8646003683
17735,Narsinghpur,2015,1225024.1790714127
17736,Panna,2015,1139707.4353193962
17739,Raisen,2015,1447506.8601359348
17742,Ratlam,2015,1548359.0686911077
17743,Rewa,2015,2598719.4310498484
17744,Sagar,2015,2621631.267592548
17745,Satna,2015,2448435.243886252
17746,Sehore,2015,1433478.1386186027
17747,Seoni,2015,1497768.0968675632
17749,Shajapur,2015,1676372.0400959624
17750,Shivpuri,2015,1895805.7683040863
17751,Sidhi,2015,2566432.9571827017
17753,Tikamgarh,2015,1567498.4253946007
17754,Ujjain,2015,2155477.8923640284
17755,Vidisha,2015,1589400.4966754355
70171,Burhanpur,2015,832640.2359725515
17728,Hoshangabad,2020,1437545.740607706
17730,Jabalpur,2020,2479515.9191247406
17732,Mandla,2020,1034665.0893371432
17733,Mandsaur,2020,1464188.9699417634
17734,Morena,2020,2287155.918646591
17741,Rajgarh,2020,1722286.1063884536
17756,West Nimar,2020,2114802.8853847757
70170,Barwani,2020,1716868.5316922986
70172,Dindori,2020,969297.5094485147
70173,Harda,2020,681948.4577792211
70174,Katni,2020,1904483.2994268455
70175,Neemuch,2020,867186.3259067026
70176,Sheopur,2020,848803.8169810835
70177,Umaria,2020,609476.9738422643
17725,East Nimar,2020,1470018.22707677
17726,Guna,2020,1393524.8107845427
17748,Shahdol,2020,1521450.9084579477
70168,Anuppur,2020,693794.8247982531
70169,Ashoknagar,2020,1020983.1604381345
17712,Balaghat,2020,1889725.5860757595
17714,Betul,2020,1803442.2371866773
17715,Bhind,2020,1923222.149113788
17716,Bhopal,2020,3019463.8596566287
17718,Chhatarpur,2020,2035851.8569655246
17719,Chhindwara,2020,2393624.701121121
17720,Damoh,2020,1443061.2931470992
17721,Datia,2020,894964.3753559408
17722,Dewas,2020,1782338.6028356643
17723,Dhar,2020,2597000.3026160146
17727,Gwalior,2020,2395469.211802084
17729,Indore,2020,4187132.987305608
17731,Jhabua,2020,2086486.2961485456
17735,Narsinghpur,2020,1288821.8597918737
17736,Panna,2020,1202335.191038434
17739,Raisen,2020,1529478.7394367824
17742,Ratlam,2020,1629848.6508198672
17743,Rewa,2020,2737886.0641611326
17744,Sagar,2020,2760816.249203863
17745,Satna,2020,2574453.533304608
17746,Sehore,2020,1517978.339296267
17747,Seoni,2020,1576091.6720120225
17749,Shajapur,2020,1766052.1642450932
17750,Shivpuri,2020,2005707.848400235
17751,Sidhi,2020,2728342.77713539
17753,Tikamgarh,2020,1657946.0658508877
17754,Ujjain,2020,2267445.939614476
17755,Vidisha,2020,1678606.2268675354
70171,Burhanpur,2020,879077.7968066272
17728,Hoshangabad,2025,1499310.9529616018
17730,Jabalpur,2025,2625509.3974281806
17732,Mandla,2025,1079890.93570794
17733,Mandsaur,2025,1527351.774687172
17734,Morena,2025,2385145.3324853787
17741,Rajgarh,2025,1795246.1637123295
17756,West Nimar,2025,2203341.610726366
70170,Barwani,2025,1796998.187496768
70172,Dindori,2025,1011632.5924547937
70173,Harda,2025,710034.3132595314
70174,Katni,2025,1989999.382207242
70175,Neemuch,2025,903615.9454440641
70176,Sheopur,2025,885256.3305470312
70177,Umaria,2025,637350.7878438709
17725,East Nimar,2025,1533547.2302206173
17726,Guna,2025,1454233.2380087012
17748,Shahdol,2025,1589838.6185729157
70168,Anuppur,2025,720180.9518059493
70169,Ashoknagar,2025,1066671.3368350205
17712,Balaghat,2025,1974241.482517868
17714,Betul,2025,1878852.5397550382
17715,Bhind,2025,2003692.1807801116
17716,Bhopal,2025,3312133.930245752
17718,Chhatarpur,2025,2126305.418452764
17719,Chhindwara,2025,2496659.273580615
