district_code,district,year,month,lst,night_lst
17728,Hoshangabad,2017.0,1.0,23.831029320839342,15.870616239448628
17730,Jabalpur,2017.0,1.0,25.737332060010214,12.858633595722571
17732,Mandla,2017.0,1.0,26.466007085706714,15.242156159989545
17733,Mandsaur,2017.0,1.0,23.91839665643887,13.274275901934816
17734,Morena,2017.0,1.0,21.645031025780664,12.032893280187672
17741,Rajgarh,2017.0,1.0,26.00976858563065,9.93593750000003
17756,West Nimar,2017.0,1.0,29.25348771555843,16.38436517714942
70170,Barwani,2017.0,1.0,31.284115406378046,18.048659960079867
70172,Dindori,2017.0,1.0,26.829484803862474,11.80929453471199
70173,Harda,2017.0,1.0,24.82107404884271,14.878687299893304
70174,Katni,2017.0,1.0,24.877093961572868,12.42936015342825
70175,Neemuch,2017.0,1.0,24.67647119753941,13.590578538641429
70176,Sheopur,2017.0,1.0,23.772883699115287,12.130752404630046
70177,Umaria,2017.0,1.0,24.944664893591483,13.041472757572828
17725,East Nimar,2017.0,1.0,27.86978694992289,16.71255550249031
17726,Guna,2017.0,1.0,25.351373381916957,13.035789473684241
17748,Shahdol,2017.0,1.0,25.765847785768106,13.212538980884586
70168,Anuppur,2017.0,1.0,26.451292448901818,13.69263060914809
70169,Ashoknagar,2017.0,1.0,24.217463561890508,12.91200000000003
17712,Balaghat,2017.0,1.0,25.612132985715675,15.699156717139724
17714,Betul,2017.0,1.0,28.16290861093236,17.212280783087888
17715,Bhind,2017.0,1.0,20.903685423979102,11.154621521059132
17716,Bhopal,2017.0,1.0,24.711118448921418,14.73652612533585
17718,Chhatarpur,2017.0,1.0,23.85632222416137,12.19333228758173
17719,Chhindwara,2017.0,1.0,27.751954459418005,15.626445296845501
17720,Damoh,2017.0,1.0,25.61080687762583,13.00683895684907
17721,Datia,2017.0,1.0,21.764647906755062,11.33488572275319
17722,Dewas,2017.0,1.0,25.986465247011516,14.502275874525886
17723,Dhar,2017.0,1.0,27.289440414576664,17.027229976695715
17727,Gwalior,2017.0,1.0,22.819085269310822,11.76462486053237
17729,Indore,2017.0,1.0,25.357631934860404,14.353983400614599
17731,Jhabua,2017.0,1.0,29.228484995851485,16.75117613152226
17735,Narsinghpur,2017.0,1.0,25.823252371348968,15.517959830268762
17736,Panna,2017.0,1.0,25.07456747001911,11.931276632504826
17739,Raisen,2017.0,1.0,25.384470271098778,13.07804428044284
17742,Ratlam,2017.0,1.0,25.862727546405797,14.312157338416254
17743,Rewa,2017.0,1.0,24.338309854092863,12.189425836921128
17744,Sagar,2017.0,1.0,25.507885315956596,11.474183673469422
17745,Satna,2017.0,1.0,24.409410325133564,13.096329334074372
17746,Sehore,2017.0,1.0,25.384196276875056,12.152127911567339
17747,Seoni,2017.0,1.0,27.01873910965663,15.59214911025923
17749,Shajapur,2017.0,1.0,25.7284317052947,12.052500000000023
17750,Shivpuri,2017.0,1.0,24.132342898293448,11.561254293891412
17751,Sidhi,2017.0,1.0,23.485662338843895,12.61300861621723
17753,Tikamgarh,2017.0,1.0,23.09243379564202,12.303512250599582
17754,Ujjain,2017.0,1.0,24.000096741380226,13.675789473684242
17755,Vidisha,2017.0,1.0,24.321447388937173,11.639824561403541
70171,Burhanpur,2017.0,1.0,30.19333116976129,15.553500000000025
17728,Hoshangabad,2017.0,2.0,28.138139346371474,16.74026464086681
17730,Jabalpur,2017.0,2.0,29.995133618414506,17.415454545454566
17732,Mandla,2017.0,2.0,31.650925561784977,16.440980392156888
17733,Mandsaur,2017.0,2.0,30.027812583000923,12.131819608267532
17734,Morena,2017.0,2.0,26.834106392953093,14.26931568364384
17741,Rajgarh,2017.0,2.0,31.965388507216915,12.143983145222
17756,West Nimar,2017.0,2.0,34.56511076792619,17.89660550458719
70170,Barwani,2017.0,2.0,36.97474306893031,19.19345083447094
70173,Harda,2017.0,2.0,29.704227667355195,16.82500000000003
70174,Katni,2017.0,2.0,28.976261958853712,15.611890792769136
70175,Neemuch,2017.0,2.0,30.977144307579525,12.284677751763029
70176,Sheopur,2017.0,2.0,29.93865519992671,14.0349019730846
17725,East Nimar,2017.0,2.0,33.51355750980724,18.2696710526316
17726,Guna,2017.0,2.0,30.179977672667388,12.685904520461156
17748,Shahdol,2017.0,2.0,30.418471201898342,16.2966666666667
