zone,ward,colony,year,month,mean_ndvi
7,1,494,2018,1,0.2835872487153377
7,1,513,2018,1,0.1429173929707987
7,1,1059,2018,1,0.0940353448496317
7,1,1060,2018,1,0.0969416743069368
7,1,1102,2018,1,0.169222784990508
7,1,1103,2018,1,0.2367707370698654
7,1,1104,2018,1,0.1127705467440154
7,1,1105,2018,1,0.1565704633544461
7,1,1805,2018,1,0.0568422612348105
7,1,2010,2018,1,0.2246342332318263
7,1,2163,2018,1,0.1420100778341293
7,1,2173,2018,1,0.0841458737850189
7,1,2293,2018,1,0.0521599985659122
7,1,2300,2018,1,-0.008765522390604
7,1,2319,2018,1,0.3547038435935974
7,2,478,2018,1,0.4946115514639085
7,2,491,2018,1,0.6551762612725935
7,2,514,2018,1,0.0625049824617346
7,2,930,2018,1,0.2283226728204127
7,2,981,2018,1,0.5600521855385301
7,2,1101,2018,1,0.3435133569757677
7,2,1806,2018,1,0.4530760300643422
7,2,2228,2018,1,0.3419103324413299
7,2,2241,2018,1,0.1470102369785308
7,2,2243,2018,1,0.1784075647592544
7,2,2257,2018,1,0.0467356406152248
7,2,2266,2018,1,0.1394354104995727
7,2,2288,2018,1,0.1616942882537841
7,3,479,2018,1,0.3159227566382172
7,3,481,2018,1,0.1462450979469954
7,3,488,2018,1,0.5035500009263965
7,3,517,2018,1,0.2881638399216524
7,3,982,2018,1,0.2986451261668247
7,3,983,2018,1,0.2735447594122899
7,3,984,2018,1,0.400633943311248
7,3,987,2018,1,0.2655834088891772
7,3,1091,2018,1,0.1826708415046395
7,3,1092,2018,1,0.2418140646716956
7,3,1932,2018,1,0.2207908722609024
7,3,1933,2018,1,0.1130788185075575
7,3,1941,2018,1,0.2108755770596591
7,3,1942,2018,1,0.3989921092970658
7,3,2176,2018,1,0.2594142258167267
7,4,487,2018,1,0.4841765736668499
7,4,496,2018,1,0.5426110750305624
7,4,497,2018,1,0.5497264462012309
7,4,498,2018,1,0.4295192072482312
7,4,500,2018,1,0.4347231430770057
7,4,501,2018,1,0.6357772126338677
7,4,515,2018,1,0.5682468913612565
7,4,516,2018,1,0.4092287067168623
7,4,518,2018,1,0.3427066855012882
7,4,849,2018,1,0.566809799833663
7,4,859,2018,1,0.4375029585044714
7,4,861,2018,1,0.2910851635657959
7,4,870,2018,1,0.5119807790502003
7,4,975,2018,1,0.4317541569992266
7,4,976,2018,1,0.5328389538600591
7,4,977,2018,1,0.5097365353697749
7,4,1021,2018,1,0.2084548347264437
7,4,1022,2018,1,0.3270342282229017
7,4,1023,2018,1,0.4414091995130931
7,4,1100,2018,1,0.508722315737218
7,4,1752,2018,1,0.4273093332172326
7,4,1829,2018,1,0.4682921808752271
7,4,1830,2018,1,0.4829289686217397
7,4,2213,2018,1,0.0397727265954017
7,4,2214,2018,1,0.0356659144163131
7,4,2217,2018,1,0.2009132355451584
7,4,2284,2018,1,0.0020951810292899
6,5,1068,2018,1,0.2906867895233497
6,5,1747,2018,1,0.3505487904300381
6,5,1835,2018,1,0.3374900323275862
6,5,1915,2018,1,0.1611787938081883
6,5,1916,2018,1,0.1411743009855435
6,5,2019,2018,1,0.3487588184507834
6,5,2021,2018,1,0.2836379880306741
6,6,1132,2018,1,0.0819884877146026
6,6,1745,2018,1,0.2945572369572829
6,6,1840,2018,1,0.1024155785055721
6,6,1841,2018,1,0.1430648765740257
6,6,1899,2018,1,0.0906301443512614
6,6,1900,2018,1,0.0956048290208023
6,6,2004,2018,1,0.1744872988060106
6,6,2007,2018,1,0.1692150329045694
6,6,2103,2018,1,0.0474999994039535
6,6,2115,2018,1,0.0806451588869094
6,6,2126,2018,1,0.1966399401426315
6,6,2197,2018,1,0.5470027327537537
6,6,2252,2018,1,0.0873450562357902
6,7,860,2018,1,0.2889197942839196
6,7,929,2018,1,0.0509774829189411
6,7,1067,2018,1,0.2664118476092497
6,7,1131,2018,1,0.342242549120152
6,7,1739,2018,1,0.212052704750363
6,7,1740,2018,1,0.1223351512146752
6,7,1741,2018,1,0.0943057527985852
6,7,1742,2018,1,0.4381115839656549
6,7,1743,2018,1,0.1049099061145566
6,7,1744,2018,1,0.0715869144990891
6,7,1746,2018,1,0.1297265593084454
