district_code,district,year,month,lst,night_lst,ndvi
70168,Anuppur,2018,1,24.049896607631723,13.472584972260531,0.3796735115047753
70168,Anuppur,2018,2,31.022089801632003,14.983733907981664,0.3477698183275809
70168,Anuppur,2018,3,39.5980718873758,19.05634832698545,0.3073564813419388
70168,Anuppur,2018,4,42.47816287620381,20.93735619725945,0.2703129662771301
70168,Anuppur,2018,5,42.944661073260654,23.2632373421987,0.2747771029635752
70168,Anuppur,2018,6,38.78912911199512,25.0232933938752,0.3831384312323965
70168,Anuppur,2018,7,30.391036740092915,24.0556786469862,0.3894864314627208
70168,Anuppur,2018,8,30.91398883606284,22.019083643718727,0.4898586521150079
70168,Anuppur,2018,9,30.536768718271308,21.38266229743196,0.641759164986769
70168,Anuppur,2018,10,28.358062578814167,20.087057005844265,0.5358521047435921
70168,Anuppur,2018,11,29.793593146158045,12.921890101570916,0.4411239772822279
70168,Anuppur,2018,12,24.175561450682626,12.442541350244015,0.396784835399684
70168,Anuppur,2019,1,24.049896607631723,13.472584972260531,0.3744377111478869
70168,Anuppur,2019,2,30.32921894906573,14.996980125761086,0.3517013833911999
70168,Anuppur,2019,3,36.63344288612655,18.512733583622623,0.3284247933547525
70168,Anuppur,2019,4,42.92071828902026,21.689454545454574,0.2864733942617576
70168,Anuppur,2019,5,45.54620387876418,24.59095862275003,0.2884623025994885
70168,Anuppur,2019,6,42.55000981651622,26.04926770028557,0.3318488226090332
70168,Anuppur,2019,7,33.545285422039484,21.609693464828545,0.492996481358548
70168,Anuppur,2019,8,29.224766013594103,21.39208620646424,0.5227810892040199
70168,Anuppur,2019,9,27.55179462967769,21.73610532404709,0.6581530842731251
70168,Anuppur,2019,10,29.007986639615165,18.83104477528814,0.6457892527197142
70168,Anuppur,2019,11,28.29669362369436,16.911681593787215,0.5687644233659966
70168,Anuppur,2019,12,23.34675748420764,11.5793800926887,0.4975180738172577
70168,Anuppur,2020,1,22.746863073774488,11.986777177194892,0.4757326319385347
70168,Anuppur,2020,2,27.73106190252588,15.754357298474972,0.4454264961966331
70168,Anuppur,2020,3,30.330625386503165,17.13073895959184,0.4480256797974496
70168,Anuppur,2020,4,37.39998403487165,21.72403218849224,0.4045990025872532
70168,Anuppur,2020,5,40.57698609917517,23.10225884387479,0.3974053754450724
70168,Anuppur,2020,6,35.47346969549313,22.906063789480964,0.4715617138652502
70168,Anuppur,2020,7,32.21404143517577,22.53597087378644,0.524320353295909
70168,Anuppur,2020,8,28.664563998599967,22.075227113567216,0.5759277943629676
70168,Anuppur,2020,9,30.17299637639432,22.30570280218869,0.7059195768266774
70168,Anuppur,2020,10,29.11334014937412,21.03639951102773,0.6072422941617124
70168,Anuppur,2020,11,28.08701315661243,14.93482125415123,0.5086572088676379
70168,Anuppur,2020,12,25.722038893958565,13.084293905191895,0.4717605317737113
70168,Anuppur,2021,1,26.30119419514316,13.35763413308488,0.4343036291575011
70168,Anuppur,2021,2,29.86351828193252,14.210820189274502,0.3950293172266276
70168,Anuppur,2021,3,37.667744380753206,18.36842723833547,0.3432872398559812
70168,Anuppur,2021,4,40.79001764846588,19.363333333333383,0.3204167498835921
70168,Anuppur,2021,5,36.97590119694173,22.93733594909063,0.4413866528104044
70168,Anuppur,2021,6,34.13577900192458,22.223250221570165,0.5687650559999292
70168,Anuppur,2021,7,34.093629472909235,22.426564886943044,0.4146304309024169
70168,Anuppur,2021,8,29.62007697864566,22.534171517350003,0.5969985177528275
70168,Anuppur,2021,9,28.842998059731915,22.222248065273423,0.6711565811557418
70168,Anuppur,2021,10,29.407921024886875,16.630000000000024,0.623238826351773
70168,Anuppur,2021,11,27.88643582496836,15.300551408277606,0.5106484813164696
70168,Anuppur,2021,12,25.148466585748327,11.176745999983696,0.4437051825388962
70168,Anuppur,2022,1,22.84405872190376,12.938873316345138,0.4432689057798219
70168,Anuppur,2022,2,27.45535960521307,16.72101123595507,0.425064857379982
70168,Anuppur,2022,3,35.20069312459946,18.418918874961268,0.3716055688440075
70168,Anuppur,2022,4,42.83159435107344,22.3312409044676,0.3121497148374757
70168,Anuppur,2022,5,40.41255675948655,22.64986493474749,0.3110158861188042
70168,Anuppur,2022,6,41.34635249089669,21.98333263000945,0.4007339576882049
70168,Anuppur,2022,7,30.780860479438854,22.6561700522432,0.4649446121086521
70168,Anuppur,2022,8,28.712836589247583,21.686042255191005,0.6262036282827194
70168,Anuppur,2022,9,29.2174201876479,22.32067211846152,0.7076729154179324
70168,Anuppur,2022,10,28.21938676896633,22.47039644782749,0.6380502380349948
70168,Anuppur,2022,11,28.28553413720091,15.080345202108811,0.5347764809599127
70168,Anuppur,2022,12,24.175561450682626,12.442541350244015,0.4682964006515468
70168,Anuppur,2023,1,25.67096426894417,15.03000000000003,0.4345921800309167
70168,Anuppur,2023,2,28.725594842152308,15.63110012278463,0.3838830031896344
70168,Anuppur,2023,3,34.554350577207714,18.46364415865928,0.3714371256138014
70168,Anuppur,2023,4,39.1034573451108,20.730219258696827,0.3795145944081459
70168,Anuppur,2023,5,39.93224972629945,23.82376764915113,0.4034566667626351
70168,Anuppur,2023,6,41.44776615782623,26.614148213877616,0.3847764595222026
70168,Anuppur,2023,7,31.368352806041752,23.11433593537613,0.4682559095663015
70168,Anuppur,2023,8,29.736872730816646,22.92861999597668,0.5989266408956434
70168,Anuppur,2023,9,28.54153835794851,20.64037027787275,0.6914422876229891
70168,Anuppur,2023,10,28.358062578814167,20.087057005844265,0.6432521301897993
70168,Anuppur,2023,11,27.363934934571365,15.33278165275708,0.5121663568349035
70168,Anuppur,2023,12,22.484982838815974,13.929745403111768,0.4911681017715448
70168,Anuppur,2024,1,22.686402778393035,14.049640234677724,0.4653336271311065
70168,Anuppur,2024,2,26.45986334842431,16.241228630420807,0.4342135422938026
70168,Anuppur,2024,3,32.4199236296303,18.981620982572927,0.4093368339402366
70168,Anuppur,2024,4,41.261773475914985,19.549376068987204,0.3638999713038083
70168,Anuppur,2024,5,37.53234997474996,26.473582949539804,0.3550925464866672
70168,Anuppur,2024,6,39.25088430154775,25.80148573188374,0.3710921145876653
70168,Anuppur,2024,7,28.63627081068228,23.615987693238868,0.4194719434071012
70168,Anuppur,2024,8,27.901344196029488,22.688697391806866,0.5199268267205126
70168,Anuppur,2024,9,27.89756663802044,21.601660725212188,0.71347773285689
70168,Anuppur,2024,10,27.665997785081988,21.052236301314228,0.6238657052602681
70168,Anuppur,2024,11,28.28553413720091,15.080345202108811,0.5024726449384697
70168,Anuppur,2024,12,24.175561450682626,12.442541350244015,0.4691669052073384
70168,Anuppur,2025,1,24.049896607631723,13.472584972260531,0.4547707361725072
70168,Anuppur,2025,2,28.218052006272657,16.509569471624314,0.37797805643836
70168,Anuppur,2025,3,35.20069312459946,18.418918874961268,0.3420393696969759
70168,Anuppur,2025,4,40.9693868600944,20.90357321381304,0.3084578751585545
70168,Anuppur,2025,5,35.53708910171791,23.74913490185645,0.3967479926064249
70168,Anuppur,2025,6,38.1213620504824,25.69285871163995,0.3701925223526341
70168,Anuppur,2025,7,28.644702282843603,21.893961245797232,0.5591986315354699
70168,Anuppur,2025,8,27.303041262617214,23.18478596493766,0.5898406637496175
70168,Anuppur,2025,9,26.012840409242653,21.83313929313933,0.7065553504473296
70168,Anuppur,2025,10,26.73374310496052,20.502264999607977,0.6722945964456124
70168,Anuppur,2025,11,28.28553413720091,15.080345202108811,0.5758253892921069
70168,Anuppur,2025,12,24.175561450682626,12.442541350244015,0.4988660347266566
70169,Ashoknagar,2018,1,25.488295662146,10.911666666666695,0.5956216666569627
70169,Ashoknagar,2018,2,29.99987152442997,14.02400000000003,0.4897404795325759
70169,Ashoknagar,2018,3,42.50277651067371,16.885479727368086,0.2807965336760751
70169,Ashoknagar,2018,4,45.777139637523874,19.79105199145465,0.2194596871343757
70169,Ashoknagar,2018,5,46.40962424502945,25.3864285714286,0.196642774140184
70169,Ashoknagar,2018,6,40.67515735927694,25.0556449402108,0.2351382784267094
70169,Ashoknagar,2018,7,37.44087982488515,17.55094812670377,0.3009094917660606
70169,Ashoknagar,2018,8,28.7344309712347,22.671423370554542,0.3274301210269332
70169,Ashoknagar,2018,9,34.596405081307964,19.299956723748863,0.540881648132185
70169,Ashoknagar,2018,10,38.32866811053893,18.73445618870194,0.3498227681812637
70169,Ashoknagar,2018,11,33.79364617064502,12.222249146398353,0.3423951596089616
70169,Ashoknagar,2018,12,25.125030176278205,8.9216666666667,0.4969661993183614
70169,Ashoknagar,2019,1,23.16096782023637,10.165000000000028,0.5883424778840469
70169,Ashoknagar,2019,2,25.60640526918177,14.46498065083557,0.5910770647075959
70169,Ashoknagar,2019,3,37.3602968254601,14.87651270561653,0.3481926097227065
70169,Ashoknagar,2019,4,46.43062865555313,24.67333333333337,0.224091049337669
70169,Ashoknagar,2019,5,48.704499748625054,24.28766222222225,0.2154986479153707
70169,Ashoknagar,2019,6,44.83022823651937,26.16261548430724,0.2385644772011694
70169,Ashoknagar,2019,7,36.67757103175524,20.2177083813732,0.4124238672357332
70169,Ashoknagar,2019,8,27.30451884798603,21.4742818057872,0.5334353199493883
70169,Ashoknagar,2019,9,28.88699762001562,21.098056780901093,0.5233794615502075
70169,Ashoknagar,2019,10,32.67806961247653,18.303531078574068,0.4447924109070078
70169,Ashoknagar,2019,11,31.297872510391205,16.828117673390626,0.3687858455054588
70169,Ashoknagar,2019,12,22.99377003955109,7.311763178427663,0.528662208895337
70169,Ashoknagar,2020,1,21.13849930975193,10.385857716498052,0.6737489419463843
70169,Ashoknagar,2020,2,25.86029403741393,16.442447913037455,0.6769247735054131
70169,Ashoknagar,2020,3,34.56831059434978,17.732440640210633,0.4492163581005757
70169,Ashoknagar,2020,4,46.04187555845447,22.225660338120576,0.2445873451289674
70169,Ashoknagar,2020,5,47.318270441976686,23.364272168947355,0.2370815294464395
70169,Ashoknagar,2020,6,36.542451579304135,23.78954214772625,0.3175307106703169
70169,Ashoknagar,2020,7,31.76212132023631,22.6360465480142,0.7103087747896272
70169,Ashoknagar,2020,8,29.60294878287967,22.14809134660259,0.5877256456162349
70169,Ashoknagar,2020,9,33.87256082411929,22.180922186879503,0.5036058826787976
70169,Ashoknagar,2020,10,36.73182646329206,20.68701631836093,0.3367855063552051
70169,Ashoknagar,2020,11,30.09186510516044,16.141631996974304,0.4052392227176751
70169,Ashoknagar,2020,12,24.328531511308807,12.15755301794456,0.4968707343763225
70169,Ashoknagar,2021,1,23.73231124514439,14.263558474855374,0.6481161986881724
70169,Ashoknagar,2021,2,29.44582464918348,14.196000000000026,0.5525774831285852
70169,Ashoknagar,2021,3,39.66893407961799,17.403099327441527,0.3122750208435703
70169,Ashoknagar,2021,4,45.838365866800494,19.11083086876157,0.2187898372236991
70169,Ashoknagar,2021,5,45.037320552408886,22.39137231256802,0.2535769773186903
70169,Ashoknagar,2021,6,38.100367556161096,22.69684006736724,0.3021126675307681
70169,Ashoknagar,2021,7,40.72103356673142,24.23266949680175,0.2853174391323091
70169,Ashoknagar,2021,8,29.52364035750005,22.32377559229808,0.5603996202154907
70169,Ashoknagar,2021,9,30.404709102864743,21.811665283931408,0.5374248090650777
70169,Ashoknagar,2021,10,33.29192131697993,18.07326502732244,0.4477587601958236
70169,Ashoknagar,2021,11,31.14402153483825,15.518923362749687,0.4019770335294019
70169,Ashoknagar,2021,12,23.25003199113833,9.6621213333172,0.5512979614297868
70169,Ashoknagar,2022,1,20.236597696968698,10.160749497299422,0.6623106318352873
70169,Ashoknagar,2022,2,25.96545730344089,13.108333333333368,0.6184278032354223
70169,Ashoknagar,2022,3,39.931129925203614,20.31833333333336,0.3639779501106936
70169,Ashoknagar,2022,4,45.3310848580538,23.45704088254384,0.2195965332057735
70169,Ashoknagar,2022,5,45.251994933421386,24.75860629887245,0.2090573129990096
70169,Ashoknagar,2022,6,42.98031945297181,25.71408831149773,0.3088403161382068
70169,Ashoknagar,2022,7,33.53434789272726,23.733365571875115,0.5201346350397988
70169,Ashoknagar,2022,8,27.76744987405451,22.04472393607483,0.6451082435575611
70169,Ashoknagar,2022,9,30.86899692713728,22.536625974288945,0.5623123368519285
70169,Ashoknagar,2022,10,34.33610216122427,17.224184036604,0.3997057719429315
70169,Ashoknagar,2022,11,31.42596774884423,17.07400491050781,0.3885066828480292
70169,Ashoknagar,2022,12,24.55315792440112,13.463832446808532,0.554372610756858
70169,Ashoknagar,2023,1,20.31683417738737,11.215000000000035,0.6638013099552723
70169,Ashoknagar,2023,2,27.998136112261403,18.117142857142888,0.6028771228127294
70169,Ashoknagar,2023,3,34.01457552185682,18.119856641326795,0.3572330062907315
70169,Ashoknagar,2023,4,43.698059925707184,18.231296734189872,0.2539327972353714
70169,Ashoknagar,2023,5,44.12999144047295,23.30592188527589,0.2531190530744749
70169,Ashoknagar,2023,6,42.51565121918768,23.200950562288416,0.2372612609624488
70169,Ashoknagar,2023,7,32.079246095610166,24.65775656531109,0.4739372206298133
70169,Ashoknagar,2023,8,28.985088605007487,21.86147722037202,0.6553990998298089
70169,Ashoknagar,2023,9,31.76843596624584,23.316989071038265,0.5152879026312842
70169,Ashoknagar,2023,10,35.78131727288517,19.33000000000003,0.3691101853741595
70169,Ashoknagar,2023,11,30.19744261021228,14.72035605495951,0.3585147466971028
70169,Ashoknagar,2023,12,23.404212955621908,12.905274656059513,0.5688665211858146
70169,Ashoknagar,2024,1,20.64217487136281,12.284004478546978,0.6498249854255663
70169,Ashoknagar,2024,2,25.23630450874401,14.448670278939902,0.5885665137024114
70169,Ashoknagar,2024,3,36.16664545447031,19.337072162262952,0.3549425628180623
70169,Ashoknagar,2024,4,44.63107184216217,21.085377017340765,0.240324559238086
70169,Ashoknagar,2024,5,44.51306519744399,26.7166125421526,0.225330836998343
70169,Ashoknagar,2024,6,43.34917271682685,25.13594510869872,0.2570883036908465
70169,Ashoknagar,2024,7,30.765494719964767,23.87788182400103,0.4865163453705907
70169,Ashoknagar,2024,8,28.34849296151129,22.580527545460143,0.6639122382376873
70169,Ashoknagar,2024,9,29.54666579743757,21.66241571690449,0.6024053050413827
70169,Ashoknagar,2024,10,33.52268944247358,21.59857898377299,0.3955008453648759
70169,Ashoknagar,2024,11,27.877380446553257,15.66800000000003,0.3692101315648146
70169,Ashoknagar,2024,12,22.316745290569163,12.491073857302144,0.5104758692582603
70169,Ashoknagar,2025,1,20.54277896054732,12.392553191489393,0.6547615868810461
70169,Ashoknagar,2025,2,24.857218567034472,16.29875000000003,0.6224679237965745
70169,Ashoknagar,2025,3,34.23718852978291,16.443443008472386,0.3660191587487474
70169,Ashoknagar,2025,4,41.91481984788241,25.21000000000004,0.2217187743427631
