district_code,district,year,month,total_population
70168,Anuppur,2015,1,666191.0
70168,Anuppur,2015,2,666191.0
70168,Anuppur,2015,3,666191.0
70168,Anuppur,2015,4,666191.0
70168,Anuppur,2015,5,666191.0
70168,Anuppur,2015,6,666191.0
70168,Anuppur,2015,7,666191.0
70168,Anuppur,2015,8,666191.0
70168,Anuppur,2015,9,666191.0
70168,Anuppur,2015,10,666191.0
70168,Anuppur,2015,11,666191.0
70168,Anuppur,2015,12,666191.0
70168,Anuppur,2016,1,671711.6
70168,Anuppur,2016,2,671711.6
70168,Anuppur,2016,3,671711.6
70168,Anuppur,2016,4,671711.6
70168,Anuppur,2016,5,671711.6
70168,Anuppur,2016,6,671711.6
70168,Anuppur,2016,7,671711.6
70168,Anuppur,2016,8,671711.6
70168,Anuppur,2016,9,671711.6
70168,Anuppur,2016,10,671711.6
70168,Anuppur,2016,11,671711.6
70168,Anuppur,2016,12,671711.6
70168,Anuppur,2017,1,677232.2
70168,Anuppur,2017,2,677232.2
70168,Anuppur,2017,3,677232.2
70168,Anuppur,2017,4,677232.2
70168,Anuppur,2017,5,677232.2
70168,Anuppur,2017,6,677232.2
70168,Anuppur,2017,7,677232.2
70168,Anuppur,2017,8,677232.2
70168,Anuppur,2017,9,677232.2
70168,Anuppur,2017,10,677232.2
70168,Anuppur,2017,11,677232.2
70168,Anuppur,2017,12,677232.2
70168,Anuppur,2018,1,682752.8
70168,Anuppur,2018,2,682752.8
70168,Anuppur,2018,3,682752.8
70168,Anuppur,2018,4,682752.8
70168,Anuppur,2018,5,682752.8
70168,Anuppur,2018,6,682752.8
70168,Anuppur,2018,7,682752.8
70168,Anuppur,2018,8,682752.8
70168,Anuppur,2018,9,682752.8
70168,Anuppur,2018,10,682752.8
70168,Anuppur,2018,11,682752.8
70168,Anuppur,2018,12,682752.8
70168,Anuppur,2019,1,688273.4
70168,Anuppur,2019,2,688273.4
70168,Anuppur,2019,3,688273.4
70168,Anuppur,2019,4,688273.4
70168,Anuppur,2019,5,688273.4
70168,Anuppur,2019,6,688273.4
70168,Anuppur,2019,7,688273.4
70168,Anuppur,2019,8,688273.4
70168,Anuppur,2019,9,688273.4
70168,Anuppur,2019,10,688273.4
70168,Anuppur,2019,11,688273.4
70168,Anuppur,2019,12,688273.4
70168,Anuppur,2020,1,693794.0
70168,Anuppur,2020,2,693794.0
70168,Anuppur,2020,3,693794.0
70168,Anuppur,2020,4,693794.0
70168,Anuppur,2020,5,693794.0
70168,Anuppur,2020,6,693794.0
70168,Anuppur,2020,7,693794.0
70168,Anuppur,2020,8,693794.0
70168,Anuppur,2020,9,693794.0
70168,Anuppur,2020,10,693794.0
70168,Anuppur,2020,11,693794.0
70168,Anuppur,2020,12,693794.0
70168,Anuppur,2021,1,699071.2
70168,Anuppur,2021,2,699071.2
70168,Anuppur,2021,3,699071.2
70168,Anuppur,2021,4,699071.2
70168,Anuppur,2021,5,699071.2
70168,Anuppur,2021,6,699071.2
70168,Anuppur,2021,7,699071.2
70168,Anuppur,2021,8,699071.2
70168,Anuppur,2021,9,699071.2
70168,Anuppur,2021,10,699071.2
70168,Anuppur,2021,11,699071.2
70168,Anuppur,2021,12,699071.2
70168,Anuppur,2022,1,704348.4
70168,Anuppur,2022,2,704348.4
70168,Anuppur,2022,3,704348.4
70168,Anuppur,2022,4,704348.4
70168,Anuppur,2022,5,704348.4
70168,Anuppur,2022,6,704348.4
70168,Anuppur,2022,7,704348.4
70168,Anuppur,2022,8,704348.4
70168,Anuppur,2022,9,704348.4
70168,Anuppur,2022,10,704348.4
70168,Anuppur,2022,11,704348.4
70168,Anuppur,2022,12,704348.4
70168,Anuppur,2023,1,709625.6
70168,Anuppur,2023,2,709625.6
70168,Anuppur,2023,3,709625.6
70168,Anuppur,2023,4,709625.6
70168,Anuppur,2023,5,709625.6
70168,Anuppur,2023,6,709625.6
70168,Anuppur,2023,7,709625.6
70168,Anuppur,2023,8,709625.6
70168,Anuppur,2023,9,709625.6
70168,Anuppur,2023,10,709625.6
70168,Anuppur,2023,11,709625.6
70168,Anuppur,2023,12,709625.6
70168,Anuppur,2024,1,714902.8
70168,Anuppur,2024,2,714902.8
70168,Anuppur,2024,3,714902.8
70168,Anuppur,2024,4,714902.8
70168,Anuppur,2024,5,714902.8
70168,Anuppur,2024,6,714902.8
70168,Anuppur,2024,7,714902.8
70168,Anuppur,2024,8,714902.8
70168,Anuppur,2024,9,714902.8
70168,Anuppur,2024,10,714902.8
70168,Anuppur,2024,11,714902.8
70168,Anuppur,2024,12,714902.8
70168,Anuppur,2025,1,720180.0
70168,Anuppur,2025,2,720180.0
70168,Anuppur,2025,3,720180.0
70168,Anuppur,2025,4,720180.0
70168,Anuppur,2025,5,720180.0
70168,Anuppur,2025,6,720180.0
70168,Anuppur,2025,7,720180.0
70168,Anuppur,2025,8,720180.0
70168,Anuppur,2025,9,720180.0
70168,Anuppur,2025,10,720180.0
70168,Anuppur,2025,11,720180.0
70168,Anuppur,2025,12,720180.0
70169,Ashoknagar,2015,1,966959.0
70169,Ashoknagar,2015,2,966959.0
70169,Ashoknagar,2015,3,966959.0
70169,Ashoknagar,2015,4,966959.0
70169,Ashoknagar,2015,5,966959.0
70169,Ashoknagar,2015,6,966959.0
70169,Ashoknagar,2015,7,966959.0
70169,Ashoknagar,2015,8,966959.0
70169,Ashoknagar,2015,9,966959.0
70169,Ashoknagar,2015,10,966959.0
70169,Ashoknagar,2015,11,966959.0
70169,Ashoknagar,2015,12,966959.0
70169,Ashoknagar,2016,1,977763.8
70169,Ashoknagar,2016,2,977763.8
70169,Ashoknagar,2016,3,977763.8
70169,Ashoknagar,2016,4,977763.8
70169,Ashoknagar,2016,5,977763.8
70169,Ashoknagar,2016,6,977763.8
70169,Ashoknagar,2016,7,977763.8
70169,Ashoknagar,2016,8,977763.8
70169,Ashoknagar,2016,9,977763.8
70169,Ashoknagar,2016,10,977763.8
70169,Ashoknagar,2016,11,977763.8
70169,Ashoknagar,2016,12,977763.8
70169,Ashoknagar,2017,1,988568.6
70169,Ashoknagar,2017,2,988568.6
70169,Ashoknagar,2017,3,988568.6
70169,Ashoknagar,2017,4,988568.6
70169,Ashoknagar,2017,5,988568.6
70169,Ashoknagar,2017,6,988568.6
70169,Ashoknagar,2017,7,988568.6
70169,Ashoknagar,2017,8,988568.6
70169,Ashoknagar,2017,9,988568.6
70169,Ashoknagar,2017,10,988568.6
70169,Ashoknagar,2017,11,988568.6
70169,Ashoknagar,2017,12,988568.6
70169,Ashoknagar,2018,1,999373.4
70169,Ashoknagar,2018,2,999373.4
70169,Ashoknagar,2018,3,999373.4
70169,Ashoknagar,2018,4,999373.4
70169,Ashoknagar,2018,5,999373.4
70169,Ashoknagar,2018,6,999373.4
70169,Ashoknagar,2018,7,999373.4
70169,Ashoknagar,2018,8,999373.4
70169,Ashoknagar,2018,9,999373.4
70169,Ashoknagar,2018,10,999373.4
70169,Ashoknagar,2018,11,999373.4
70169,Ashoknagar,2018,12,999373.4
70169,Ashoknagar,2019,1,1010178.2
70169,Ashoknagar,2019,2,1010178.2
70169,Ashoknagar,2019,3,1010178.2
70169,Ashoknagar,2019,4,1010178.2
70169,Ashoknagar,2019,5,1010178.2
70169,Ashoknagar,2019,6,1010178.2
70169,Ashoknagar,2019,7,1010178.2
70169,Ashoknagar,2019,8,1010178.2
70169,Ashoknagar,2019,9,1010178.2
70169,Ashoknagar,2019,10,1010178.2
70169,Ashoknagar,2019,11,1010178.2
70169,Ashoknagar,2019,12,1010178.2
70169,Ashoknagar,2020,1,1020983.0
70169,Ashoknagar,2020,2,1020983.0
70169,Ashoknagar,2020,3,1020983.0
70169,Ashoknagar,2020,4,1020983.0
70169,Ashoknagar,2020,5,1020983.0
70169,Ashoknagar,2020,6,1020983.0
70169,Ashoknagar,2020,7,1020983.0
70169,Ashoknagar,2020,8,1020983.0
70169,Ashoknagar,2020,9,1020983.0
70169,Ashoknagar,2020,10,1020983.0
70169,Ashoknagar,2020,11,1020983.0
70169,Ashoknagar,2020,12,1020983.0
70169,Ashoknagar,2021,1,1030120.6
70169,Ashoknagar,2021,2,1030120.6
70169,Ashoknagar,2021,3,1030120.6
70169,Ashoknagar,2021,4,1030120.6
70169,Ashoknagar,2021,5,1030120.6
70169,Ashoknagar,2021,6,1030120.6
70169,Ashoknagar,2021,7,1030120.6
70169,Ashoknagar,2021,8,1030120.6
70169,Ashoknagar,2021,9,1030120.6
70169,Ashoknagar,2021,10,1030120.6
70169,Ashoknagar,2021,11,1030120.6
70169,Ashoknagar,2021,12,1030120.6
70169,Ashoknagar,2022,1,1039258.2
70169,Ashoknagar,2022,2,1039258.2
70169,Ashoknagar,2022,3,1039258.2
70169,Ashoknagar,2022,4,1039258.2
70169,Ashoknagar,2022,5,1039258.2
70169,Ashoknagar,2022,6,1039258.2
70169,Ashoknagar,2022,7,1039258.2
70169,Ashoknagar,2022,8,1039258.2
70169,Ashoknagar,2022,9,1039258.2
70169,Ashoknagar,2022,10,1039258.2
70169,Ashoknagar,2022,11,1039258.2
70169,Ashoknagar,2022,12,1039258.2
70169,Ashoknagar,2023,1,1048395.8
70169,Ashoknagar,2023,2,1048395.8
70169,Ashoknagar,2023,3,1048395.8
70169,Ashoknagar,2023,4,1048395.8
70169,Ashoknagar,2023,5,1048395.8
70169,Ashoknagar,2023,6,1048395.8
70169,Ashoknagar,2023,7,1048395.8
70169,Ashoknagar,2023,8,1048395.8
70169,Ashoknagar,2023,9,1048395.8
70169,Ashoknagar,2023,10,1048395.8
70169,Ashoknagar,2023,11,1048395.8
70169,Ashoknagar,2023,12,1048395.8
70169,Ashoknagar,2024,1,1057533.4
70169,Ashoknagar,2024,2,1057533.4
70169,Ashoknagar,2024,3,1057533.4
70169,Ashoknagar,2024,4,1057533.4
70169,Ashoknagar,2024,5,1057533.4
70169,Ashoknagar,2024,6,1057533.4
70169,Ashoknagar,2024,7,1057533.4
70169,Ashoknagar,2024,8,1057533.4
70169,Ashoknagar,2024,9,1057533.4
70169,Ashoknagar,2024,10,1057533.4
70169,Ashoknagar,2024,11,1057533.4
70169,Ashoknagar,2024,12,1057533.4
70169,Ashoknagar,2025,1,1066671.0
70169,Ashoknagar,2025,2,1066671.0
70169,Ashoknagar,2025,3,1066671.0
70169,Ashoknagar,2025,4,1066671.0
70169,Ashoknagar,2025,5,1066671.0
70169,Ashoknagar,2025,6,1066671.0
70169,Ashoknagar,2025,7,1066671.0
70169,Ashoknagar,2025,8,1066671.0
70169,Ashoknagar,2025,9,1066671.0
70169,Ashoknagar,2025,10,1066671.0
70169,Ashoknagar,2025,11,1066671.0
70169,Ashoknagar,2025,12,1066671.0
17712,Balaghat,2015,1,1793698.0
