feature,importance,std
month,0.8107703365816671,0.011521331508582894
lst_3month_avg,0.1927905938405146,0.0032350672519100387
lst_12month_avg,0.0053216392655699735,0.0002589916857468535
ndvi_change,0.000506244272348059,7.842468126370244e-05
builtup_ndvi,0.00046798990921995685,7.054836886516797e-05
mean_ndvi,0.00041953645592588404,0.00014198164487449404
area_sq_km,0.0003100759199475722,7.552591218453803e-05
ndvi_3month_avg,4.046069219218647e-05,0.00010396976752871096
population,3.408416679713255e-05,2.6857725504677016e-05
year,0.0,0.0
year_index,0.0,0.0
population_density,-3.1048750504114596e-05,6.183921260477981e-05
heat_exposure_index,-4.486895544539848e-05,2.343087012710263e-05
urban_intensity,-0.00016426101740733002,8.535432512377902e-05
ndvi_lag2,-0.00034718541302343936,0.00012917593150709055
ndvi_lag1,-0.0003925946873560293,0.00011568324110659572
built_up_percent,-0.0008903288170491131,0.0001597623564476711
