feature,importance,std
month_sin,0.9694049967112296,0.06565084809221224
night_lst,0.0304610086227581,0.003312504361954076
month_cos,0.010322904792143928,0.006962768910671637
ndvi,0.007298275058494423,0.0035408627335626
built_up_growth,0.005547151959617502,0.0027026984005660967
lst_12month_avg,0.005146742338498355,0.001518260913636338
lst_lag1,0.003988654323738601,0.0021752589620149974
lst_lag3,0.003720975660849268,0.002736564250432157
population_density,0.003538507048225825,0.0022843725458539946
total_population,0.0009588686298075337,0.001348433870375954
built_up_pct,0.0001254923650178837,0.0012075210534928033
year,0.0,0.0
lst_anomally,-0.0009166584611106569,0.003128508125670615
lst_3month_avg,-0.001177578336758726,0.0020702055525986607
lst_lag2,-0.0041885561157511035,0.0017897887549392952
ndvi_anomally,-0.004902842629101578,0.0026329885085053816
ndvi_builtup_interaction,-0.005901120159627501,0.001701459899255218
